parish,office,district,party,candidate,votes
Orleans,State Senate,1st Senatorial District,R,Walter J. Boasso,76
Orleans,State Senate,1st Senatorial District,D,Wayne J. Landry,28
Orleans,State Senate,1st Senatorial District,R,Wayne Mumphrey,41
Plaquemines,State Senate,1st Senatorial District,R,Walter J. Boasso,1779
Plaquemines,State Senate,1st Senatorial District,D,Wayne J. Landry,2854
Plaquemines,State Senate,1st Senatorial District,R,Wayne Mumphrey,1047
St. Bernard,State Senate,1st Senatorial District,R,Walter J. Boasso,14052
St. Bernard,State Senate,1st Senatorial District,D,Wayne J. Landry,6729
St. Bernard,State Senate,1st Senatorial District,R,Wayne Mumphrey,4547
St. Tammany,State Senate,1st Senatorial District,R,Walter J. Boasso,3935
St. Tammany,State Senate,1st Senatorial District,D,Wayne J. Landry,2677
St. Tammany,State Senate,1st Senatorial District,R,Wayne Mumphrey,2903
Orleans,State Senate,2nd Senatorial District,D,Ray C. Crawford,1574
Orleans,State Senate,2nd Senatorial District,D,Ann Duplessis,9121
Orleans,State Senate,2nd Senatorial District,D,Glenda Jones Harris,2211
Orleans,State Senate,2nd Senatorial District,D,Jon D. Johnson,12175
Jefferson,State Senate,3rd Senatorial District,D,"Lambert C. Boissiere, Jr.",4074
Jefferson,State Senate,3rd Senatorial District,D,"Patricia M. ""Pat"" Harris",2129
Jefferson,State Senate,3rd Senatorial District,O,Jason Neville,311
Orleans,State Senate,3rd Senatorial District,D,"Lambert C. Boissiere, Jr.",14021
Orleans,State Senate,3rd Senatorial District,D,"Patricia M. ""Pat"" Harris",3514
Orleans,State Senate,3rd Senatorial District,O,Jason Neville,1217
Orleans,State Senate,4th Senatorial District,D,Paulette R. Irons,17970
Orleans,State Senate,4th Senatorial District,O,"Gregory W. ""Greg"" Kahn",1366
Orleans,State Senate,4th Senatorial District,D,Jim McKay,7280
Orleans,State Senate,5th Senatorial District,D,Diana E. Bajoie,16551
Orleans,State Senate,5th Senatorial District,R,"Edward J. ""Eddie"" Rantz",3591
Jefferson,State Senate,8th Senatorial District,R,Robert Evans,12811
Jefferson,State Senate,8th Senatorial District,D,J. Chris Ullo,15986
Jefferson,State Senate,9th Senatorial District,R,"""Ken"" Hollis",19570
Jefferson,State Senate,9th Senatorial District,R,"""Polly"" Thomas",12504
Jefferson,State Senate,10th Senatorial District,R,"Arthur ""Art"" Lentini",21018
Jefferson,State Senate,10th Senatorial District,R,Stephen Rue,8474
St. Tammany,State Senate,11th Senatorial District,R,Bruce Authement,9820
St. Tammany,State Senate,11th Senatorial District,R,"""Tom"" Schedler",19520
Tangipahoa,State Senate,11th Senatorial District,R,Bruce Authement,2100
Tangipahoa,State Senate,11th Senatorial District,R,"""Tom"" Schedler",2846
St. Helena,State Senate,12th Senatorial District,D,Dennis Davis,200
St. Helena,State Senate,12th Senatorial District,D,Ivory Dyson,455
St. Helena,State Senate,12th Senatorial District,R,David P. Lindsey,293
St. Helena,State Senate,12th Senatorial District,D,Stanley Middleton,98
St. Helena,State Senate,12th Senatorial District,D,Ben Nevers,466
St. Helena,State Senate,12th Senatorial District,D,Weldon Russell,788
St. Helena,State Senate,12th Senatorial District,R,Richard Tanner,318
St. Tammany,State Senate,12th Senatorial District,D,Dennis Davis,873
St. Tammany,State Senate,12th Senatorial District,D,Ivory Dyson,318
St. Tammany,State Senate,12th Senatorial District,R,David P. Lindsey,986
St. Tammany,State Senate,12th Senatorial District,D,Stanley Middleton,221
St. Tammany,State Senate,12th Senatorial District,D,Ben Nevers,3012
St. Tammany,State Senate,12th Senatorial District,D,Weldon Russell,380
St. Tammany,State Senate,12th Senatorial District,R,Richard Tanner,4883
Tangipahoa,State Senate,12th Senatorial District,D,Dennis Davis,397
Tangipahoa,State Senate,12th Senatorial District,D,Ivory Dyson,1632
Tangipahoa,State Senate,12th Senatorial District,R,David P. Lindsey,564
Tangipahoa,State Senate,12th Senatorial District,D,Stanley Middleton,251
Tangipahoa,State Senate,12th Senatorial District,D,Ben Nevers,3557
Tangipahoa,State Senate,12th Senatorial District,D,Weldon Russell,3898
Tangipahoa,State Senate,12th Senatorial District,R,Richard Tanner,2436
Washington,State Senate,12th Senatorial District,D,Dennis Davis,591
Washington,State Senate,12th Senatorial District,D,Ivory Dyson,783
Washington,State Senate,12th Senatorial District,R,David P. Lindsey,652
Washington,State Senate,12th Senatorial District,D,Stanley Middleton,339
Washington,State Senate,12th Senatorial District,D,Ben Nevers,10223
Washington,State Senate,12th Senatorial District,D,Weldon Russell,625
Washington,State Senate,12th Senatorial District,R,Richard Tanner,1017
East Baton Rouge,State Senate,14th Senatorial District,D,Cleo Fields,13467
East Baton Rouge,State Senate,14th Senatorial District,D,Byron Nigel Sharper,3700
East Baton Rouge,State Senate,14th Senatorial District,D,Patricia Haynes Smith,8044
East Baton Rouge,State Senate,15th Senatorial District,D,"Melvin L. ""Kip"" Holden",24442
East Baton Rouge,State Senate,15th Senatorial District,R,"Arnold ""Pop"" Johnson",6416
East Baton Rouge,State Senate,16th Senatorial District,R,Jay Dardenne,34679
East Baton Rouge,State Senate,16th Senatorial District,R,Chris Warner,9758
East Baton Rouge,State Senate,17th Senatorial District,R,John M. Evans,664
East Baton Rouge,State Senate,17th Senatorial District,R,"""Tim"" Johnson",2480
East Baton Rouge,State Senate,17th Senatorial District,D,"Robert ""Rob"" Marionneaux, Jr.",2371
East Feliciana,State Senate,17th Senatorial District,R,John M. Evans,1017
East Feliciana,State Senate,17th Senatorial District,R,"""Tim"" Johnson",1583
East Feliciana,State Senate,17th Senatorial District,D,"Robert ""Rob"" Marionneaux, Jr.",4317
Iberville,State Senate,17th Senatorial District,R,John M. Evans,1305
Iberville,State Senate,17th Senatorial District,R,"""Tim"" Johnson",3623
Iberville,State Senate,17th Senatorial District,D,"Robert ""Rob"" Marionneaux, Jr.",8028
Pointe Coupee,State Senate,17th Senatorial District,R,John M. Evans,341
Pointe Coupee,State Senate,17th Senatorial District,R,"""Tim"" Johnson",2486
Pointe Coupee,State Senate,17th Senatorial District,D,"Robert ""Rob"" Marionneaux, Jr.",6377
St. Helena,State Senate,17th Senatorial District,R,John M. Evans,179
St. Helena,State Senate,17th Senatorial District,R,"""Tim"" Johnson",375
St. Helena,State Senate,17th Senatorial District,D,"Robert ""Rob"" Marionneaux, Jr.",1495
West Baton Rouge,State Senate,17th Senatorial District,R,John M. Evans,701
West Baton Rouge,State Senate,17th Senatorial District,R,"""Tim"" Johnson",2657
West Baton Rouge,State Senate,17th Senatorial District,D,"Robert ""Rob"" Marionneaux, Jr.",5257
Ascension,State Senate,18th Senatorial District,D,"""Jody"" Amedee",7089
Ascension,State Senate,18th Senatorial District,D,"""Jeff"" Diez",6682
Ascension,State Senate,18th Senatorial District,R,Warren Harang III,3905
Ascension,State Senate,18th Senatorial District,D,Guy M. Poche',1530
Ascension,State Senate,18th Senatorial District,D,"Vincent ""Beazy"" Sotile, Jr.",2592
Ascension,State Senate,18th Senatorial District,R,Mark Stermer,6808
Livingston,State Senate,18th Senatorial District,D,"""Jody"" Amedee",1699
Livingston,State Senate,18th Senatorial District,D,"""Jeff"" Diez",1912
Livingston,State Senate,18th Senatorial District,R,Warren Harang III,488
Livingston,State Senate,18th Senatorial District,D,Guy M. Poche',199
Livingston,State Senate,18th Senatorial District,D,"Vincent ""Beazy"" Sotile, Jr.",120
Livingston,State Senate,18th Senatorial District,R,Mark Stermer,840
St. James,State Senate,18th Senatorial District,D,"""Jody"" Amedee",2870
St. James,State Senate,18th Senatorial District,D,"""Jeff"" Diez",1767
St. James,State Senate,18th Senatorial District,R,Warren Harang III,930
St. James,State Senate,18th Senatorial District,D,Guy M. Poche',2119
St. James,State Senate,18th Senatorial District,D,"Vincent ""Beazy"" Sotile, Jr.",836
St. James,State Senate,18th Senatorial District,R,Mark Stermer,612
St. John The Baptist,State Senate,18th Senatorial District,D,"""Jody"" Amedee",755
St. John The Baptist,State Senate,18th Senatorial District,D,"""Jeff"" Diez",962
St. John The Baptist,State Senate,18th Senatorial District,R,Warren Harang III,82
St. John The Baptist,State Senate,18th Senatorial District,D,Guy M. Poche',541
St. John The Baptist,State Senate,18th Senatorial District,D,"Vincent ""Beazy"" Sotile, Jr.",169
St. John The Baptist,State Senate,18th Senatorial District,R,Mark Stermer,72
Lafourche,State Senate,20th Senatorial District,D,"Reggie P. Dupre, Jr.",12155
Lafourche,State Senate,20th Senatorial District,D,Nathan A. Trosclair,2380
Terrebonne,State Senate,20th Senatorial District,D,"Reggie P. Dupre, Jr.",14977
Terrebonne,State Senate,20th Senatorial District,D,Nathan A. Trosclair,3075
Assumption,State Senate,21st Senatorial District,D,"Edwin ""Eddie Black"" Albares",822
Assumption,State Senate,21st Senatorial District,D,"""Butch"" Gautreaux",8133
Lafourche,State Senate,21st Senatorial District,D,"Edwin ""Eddie Black"" Albares",284
Lafourche,State Senate,21st Senatorial District,D,"""Butch"" Gautreaux",1891
St. Martin,State Senate,21st Senatorial District,D,"Edwin ""Eddie Black"" Albares",68
St. Martin,State Senate,21st Senatorial District,D,"""Butch"" Gautreaux",523
St. Mary,State Senate,21st Senatorial District,D,"Edwin ""Eddie Black"" Albares",1672
St. Mary,State Senate,21st Senatorial District,D,"""Butch"" Gautreaux",13193
Terrebonne,State Senate,21st Senatorial District,D,"Edwin ""Eddie Black"" Albares",1404
Terrebonne,State Senate,21st Senatorial District,D,"""Butch"" Gautreaux",8196
Lafayette,State Senate,23rd Senatorial District,R,"""Mike"" Michot",32566
Lafayette,State Senate,23rd Senatorial District,R,Herman L. Vidrine,4437
Lafayette,State Senate,24th Senatorial District,D,"Donald ""Don"" Cravins",10044
Lafayette,State Senate,24th Senatorial District,R,"""Jim"" Darby",2680
Lafayette,State Senate,24th Senatorial District,D,David Saunders,1634
St. Landry,State Senate,24th Senatorial District,D,"Donald ""Don"" Cravins",12606
St. Landry,State Senate,24th Senatorial District,R,"""Jim"" Darby",3162
St. Landry,State Senate,24th Senatorial District,D,David Saunders,3542
Acadia,State Senate,26th Senatorial District,D,"""Nick"" Gautreaux",4869
Acadia,State Senate,26th Senatorial District,D,Fred Hoyt,4326
Lafayette,State Senate,26th Senatorial District,D,"""Nick"" Gautreaux",3518
Lafayette,State Senate,26th Senatorial District,D,Fred Hoyt,2969
St. Landry,State Senate,26th Senatorial District,D,"""Nick"" Gautreaux",793
St. Landry,State Senate,26th Senatorial District,D,Fred Hoyt,739
Vermilion,State Senate,26th Senatorial District,D,"""Nick"" Gautreaux",11199
Vermilion,State Senate,26th Senatorial District,D,Fred Hoyt,9344
Rapides,State Senate,29th Senatorial District,D,Jerry M. Guillory,5442
Rapides,State Senate,29th Senatorial District,D,"""Joe"" McPherson",20530
Beauregard,State Senate,30th Senatorial District,R,James David Cain,5863
Beauregard,State Senate,30th Senatorial District,D,"Lloydell ""Iles"" Mullican",2443
Beauregard,State Senate,30th Senatorial District,O,Arnold Russell Williams,436
Calcasieu,State Senate,30th Senatorial District,R,James David Cain,4367
Calcasieu,State Senate,30th Senatorial District,D,"Lloydell ""Iles"" Mullican",2080
Calcasieu,State Senate,30th Senatorial District,O,Arnold Russell Williams,295
Vernon,State Senate,30th Senatorial District,R,James David Cain,9379
Vernon,State Senate,30th Senatorial District,D,"Lloydell ""Iles"" Mullican",1888
Vernon,State Senate,30th Senatorial District,O,Arnold Russell Williams,614
Avoyelles,State Senate,32nd Senatorial District,D,Noble Ellington,442
Avoyelles,State Senate,32nd Senatorial District,D,"James ""Jim"" Hearns",316
Caldwell,State Senate,32nd Senatorial District,D,Noble Ellington,3420
Caldwell,State Senate,32nd Senatorial District,D,"James ""Jim"" Hearns",888
Catahoula,State Senate,32nd Senatorial District,D,Noble Ellington,2606
Catahoula,State Senate,32nd Senatorial District,D,"James ""Jim"" Hearns",528
Concordia,State Senate,32nd Senatorial District,D,Noble Ellington,4451
Concordia,State Senate,32nd Senatorial District,D,"James ""Jim"" Hearns",753
Franklin,State Senate,32nd Senatorial District,D,Noble Ellington,4999
Franklin,State Senate,32nd Senatorial District,D,"James ""Jim"" Hearns",1337
Lasalle,State Senate,32nd Senatorial District,D,Noble Ellington,4392
Lasalle,State Senate,32nd Senatorial District,D,"James ""Jim"" Hearns",869
Ouachita,State Senate,32nd Senatorial District,D,Noble Ellington,1276
Ouachita,State Senate,32nd Senatorial District,D,"James ""Jim"" Hearns",392
Rapides,State Senate,32nd Senatorial District,D,Noble Ellington,1404
Rapides,State Senate,32nd Senatorial District,D,"James ""Jim"" Hearns",525
Richland,State Senate,32nd Senatorial District,D,Noble Ellington,1306
Richland,State Senate,32nd Senatorial District,D,"James ""Jim"" Hearns",156
West Feliciana,State Senate,32nd Senatorial District,D,Noble Ellington,2725
West Feliciana,State Senate,32nd Senatorial District,D,"James ""Jim"" Hearns",1183
Jackson,State Senate,35th Senatorial District,D,"""Bill"" Jones",3182
Jackson,State Senate,35th Senatorial District,R,"Robert W. ""Bob"" Kostelka",3092
Lincoln,State Senate,35th Senatorial District,D,"""Bill"" Jones",6956
Lincoln,State Senate,35th Senatorial District,R,"Robert W. ""Bob"" Kostelka",4552
Ouachita,State Senate,35th Senatorial District,D,"""Bill"" Jones",5984
Ouachita,State Senate,35th Senatorial District,R,"Robert W. ""Bob"" Kostelka",9687
Bossier,State Senate,37th Senatorial District,R,Max T. Malone,6358
Bossier,State Senate,37th Senatorial District,D,"""Don"" Pierson, Jr.",4294
Caddo,State Senate,37th Senatorial District,R,Max T. Malone,8432
Caddo,State Senate,37th Senatorial District,D,"""Don"" Pierson, Jr.",5716
Caddo,State Senate,38th Senatorial District,R,Sherri Smith Cheek,8216
Caddo,State Senate,38th Senatorial District,D,Forrest Davis,6641
Caddo,State Senate,38th Senatorial District,R,Ted Roberts,2993
Caddo,State Senate,38th Senatorial District,R,"""Doug"" Shurling",3947
De Soto,State Senate,38th Senatorial District,R,Sherri Smith Cheek,2242
De Soto,State Senate,38th Senatorial District,D,Forrest Davis,2762
De Soto,State Senate,38th Senatorial District,R,Ted Roberts,1417
De Soto,State Senate,38th Senatorial District,R,"""Doug"" Shurling",1440
Caddo,State Senate,39th Senatorial District,D,James Edward Green,2317
Caddo,State Senate,39th Senatorial District,D,Lydia Patrice Jackson,11171
Caddo,State Senate,39th Senatorial District,D,"Theron ""T. J."" Jackson",5307
Caddo,State Senate,39th Senatorial District,D,"John D. ""Johnny"" Reid",3055
Caddo,State Senate,39th Senatorial District,O,"James F. ""Jim"" Slagle",1819
Bossier,State House,1st Representative District,D,Phillip Green,71
Bossier,State House,1st Representative District,D,"Roy ""Hoppy"" Hopkins",567
Bossier,State House,1st Representative District,D,Kirby Kelly,119
Caddo,State House,1st Representative District,D,Phillip Green,606
Caddo,State House,1st Representative District,D,"Roy ""Hoppy"" Hopkins",6861
Caddo,State House,1st Representative District,D,Kirby Kelly,2322
Bossier,State House,2nd Representative District,R,Martin Dale Bryant,159
Bossier,State House,2nd Representative District,D,Roy Burrell,318
Caddo,State House,2nd Representative District,R,Martin Dale Bryant,1076
Caddo,State House,2nd Representative District,D,Roy Burrell,5041
Caddo,State House,3rd Representative District,D,"Ernest Baylor, Jr.",3788
Caddo,State House,3rd Representative District,D,Barbara Norton,3537
Caddo,State House,4th Representative District,D,Cedric Bradford Glover,5902
Caddo,State House,4th Representative District,D,Patrick C. Williams,3567
Bossier,State House,6th Representative District,R,Raymond S. Alley,173
Bossier,State House,6th Representative District,R,Scott Hughes,370
Bossier,State House,6th Representative District,D,Henry McQueen,277
Bossier,State House,6th Representative District,R,Barrow Peacock,83
Bossier,State House,6th Representative District,R,"""Mike"" Powell",581
Caddo,State House,6th Representative District,R,Raymond S. Alley,1952
Caddo,State House,6th Representative District,R,Scott Hughes,1511
Caddo,State House,6th Representative District,D,Henry McQueen,1093
Caddo,State House,6th Representative District,R,Barrow Peacock,1611
Caddo,State House,6th Representative District,R,"""Mike"" Powell",4927
Bossier,State House,8th Representative District,R,Ryan Gatti,3456
Bossier,State House,8th Representative District,R,Jane H. Smith,6999
Bienville,State House,13th Representative District,D,Tommy J. Bankston,1383
Bienville,State House,13th Representative District,D,Joe Lynn Browning,249
