parish,office,district,party,candidate,votes
Orleans,State Senate,1st Senatorial District,R,A. G. Crowe,137
Orleans,State Senate,1st Senatorial District,R,"""Nita"" Rusich Hutter",61
Plaquemines,State Senate,1st Senatorial District,R,A. G. Crowe,454
Plaquemines,State Senate,1st Senatorial District,R,"""Nita"" Rusich Hutter",359
St. Bernard,State Senate,1st Senatorial District,R,A. G. Crowe,2552
St. Bernard,State Senate,1st Senatorial District,R,"""Nita"" Rusich Hutter",2455
St. Tammany,State Senate,1st Senatorial District,R,A. G. Crowe,12574
St. Tammany,State Senate,1st Senatorial District,R,"""Nita"" Rusich Hutter",4150
Ascension,State Senate,2nd Senatorial District,D,Elton M. Aubert,1877
Ascension,State Senate,2nd Senatorial District,D,"Michael ""Mike"" Bell",616
Ascension,State Senate,2nd Senatorial District,D,Troy E. Brown,1912
Ascension,State Senate,2nd Senatorial District,R,"Alfred ""Al"" Carter",455
Ascension,State Senate,2nd Senatorial District,D,"George L. Grace, Jr.",195
Ascension,State Senate,2nd Senatorial District,R,"Zaine ""The Queen"" Kasem",62
Assumption,State Senate,2nd Senatorial District,D,Elton M. Aubert,647
Assumption,State Senate,2nd Senatorial District,D,"Michael ""Mike"" Bell",478
Assumption,State Senate,2nd Senatorial District,D,Troy E. Brown,2815
Assumption,State Senate,2nd Senatorial District,R,"Alfred ""Al"" Carter",568
Assumption,State Senate,2nd Senatorial District,D,"George L. Grace, Jr.",127
Assumption,State Senate,2nd Senatorial District,R,"Zaine ""The Queen"" Kasem",80
Iberville,State Senate,2nd Senatorial District,D,Elton M. Aubert,415
Iberville,State Senate,2nd Senatorial District,D,"Michael ""Mike"" Bell",341
Iberville,State Senate,2nd Senatorial District,D,Troy E. Brown,765
Iberville,State Senate,2nd Senatorial District,R,"Alfred ""Al"" Carter",415
Iberville,State Senate,2nd Senatorial District,D,"George L. Grace, Jr.",941
Iberville,State Senate,2nd Senatorial District,R,"Zaine ""The Queen"" Kasem",47
Lafourche,State Senate,2nd Senatorial District,D,Elton M. Aubert,550
Lafourche,State Senate,2nd Senatorial District,D,"Michael ""Mike"" Bell",275
Lafourche,State Senate,2nd Senatorial District,D,Troy E. Brown,984
Lafourche,State Senate,2nd Senatorial District,R,"Alfred ""Al"" Carter",1145
Lafourche,State Senate,2nd Senatorial District,D,"George L. Grace, Jr.",90
Lafourche,State Senate,2nd Senatorial District,R,"Zaine ""The Queen"" Kasem",85
St. Charles,State Senate,2nd Senatorial District,D,Elton M. Aubert,123
St. Charles,State Senate,2nd Senatorial District,D,"Michael ""Mike"" Bell",30
St. Charles,State Senate,2nd Senatorial District,D,Troy E. Brown,126
St. Charles,State Senate,2nd Senatorial District,R,"Alfred ""Al"" Carter",9
St. Charles,State Senate,2nd Senatorial District,D,"George L. Grace, Jr.",2
St. Charles,State Senate,2nd Senatorial District,R,"Zaine ""The Queen"" Kasem",2
St. James,State Senate,2nd Senatorial District,D,Elton M. Aubert,4404
St. James,State Senate,2nd Senatorial District,D,"Michael ""Mike"" Bell",715
St. James,State Senate,2nd Senatorial District,D,Troy E. Brown,1338
St. James,State Senate,2nd Senatorial District,R,"Alfred ""Al"" Carter",657
St. James,State Senate,2nd Senatorial District,D,"George L. Grace, Jr.",206
St. James,State Senate,2nd Senatorial District,R,"Zaine ""The Queen"" Kasem",68
St. John The Baptist,State Senate,2nd Senatorial District,D,Elton M. Aubert,1969
St. John The Baptist,State Senate,2nd Senatorial District,D,"Michael ""Mike"" Bell",1375
St. John The Baptist,State Senate,2nd Senatorial District,D,Troy E. Brown,2374
St. John The Baptist,State Senate,2nd Senatorial District,R,"Alfred ""Al"" Carter",718
St. John The Baptist,State Senate,2nd Senatorial District,D,"George L. Grace, Jr.",187
St. John The Baptist,State Senate,2nd Senatorial District,R,"Zaine ""The Queen"" Kasem",136
West Baton Rouge,State Senate,2nd Senatorial District,D,Elton M. Aubert,947
West Baton Rouge,State Senate,2nd Senatorial District,D,"Michael ""Mike"" Bell",689
West Baton Rouge,State Senate,2nd Senatorial District,D,Troy E. Brown,1768
West Baton Rouge,State Senate,2nd Senatorial District,R,"Alfred ""Al"" Carter",999
West Baton Rouge,State Senate,2nd Senatorial District,D,"George L. Grace, Jr.",450
West Baton Rouge,State Senate,2nd Senatorial District,R,"Zaine ""The Queen"" Kasem",104
Jefferson,State Senate,3rd Senatorial District,D,"""J. P."" Morrell",2843
Jefferson,State Senate,3rd Senatorial District,D,Cynthia Willard-Lewis,2058
Orleans,State Senate,3rd Senatorial District,D,"""J. P."" Morrell",4618
Orleans,State Senate,3rd Senatorial District,D,Cynthia Willard-Lewis,5266
St. Bernard,State Senate,3rd Senatorial District,D,"""J. P."" Morrell",3819
St. Bernard,State Senate,3rd Senatorial District,D,Cynthia Willard-Lewis,2587
East Baton Rouge,State Senate,6th Senatorial District,R,"""Mike"" Mannino",6844
East Baton Rouge,State Senate,6th Senatorial District,R,"Mack ""Bodi"" White, Jr.",8175
Livingston,State Senate,6th Senatorial District,R,"""Mike"" Mannino",213
Livingston,State Senate,6th Senatorial District,R,"Mack ""Bodi"" White, Jr.",320
St. Helena,State Senate,6th Senatorial District,R,"""Mike"" Mannino",650
St. Helena,State Senate,6th Senatorial District,R,"Mack ""Bodi"" White, Jr.",608
Tangipahoa,State Senate,6th Senatorial District,R,"""Mike"" Mannino",4340
Tangipahoa,State Senate,6th Senatorial District,R,"Mack ""Bodi"" White, Jr.",3783
St. Tammany,State Senate,11th Senatorial District,R,"""Jack"" Donahue, Jr.",17321
St. Tammany,State Senate,11th Senatorial District,R,Gary J. Leonard,4030
Tangipahoa,State Senate,11th Senatorial District,R,"""Jack"" Donahue, Jr.",2658
Tangipahoa,State Senate,11th Senatorial District,R,Gary J. Leonard,550
St. Tammany,State Senate,12th Senatorial District,R,"""Beth"" Mizell",4020
St. Tammany,State Senate,12th Senatorial District,D,Ben Nevers,1911
Tangipahoa,State Senate,12th Senatorial District,R,"""Beth"" Mizell",5273
Tangipahoa,State Senate,12th Senatorial District,D,Ben Nevers,6228
Washington,State Senate,12th Senatorial District,R,"""Beth"" Mizell",5471
Washington,State Senate,12th Senatorial District,D,Ben Nevers,6977
East Baton Rouge,State Senate,13th Senatorial District,R,Derek Babcock,575
East Baton Rouge,State Senate,13th Senatorial District,R,Dale Erdey,716
Livingston,State Senate,13th Senatorial District,R,Derek Babcock,9182
Livingston,State Senate,13th Senatorial District,R,Dale Erdey,17567
Tangipahoa,State Senate,13th Senatorial District,R,Derek Babcock,1028
Tangipahoa,State Senate,13th Senatorial District,R,Dale Erdey,1548
East Baton Rouge,State Senate,14th Senatorial District,D,Yvonne Dorsey,9373
East Baton Rouge,State Senate,14th Senatorial District,D,Michael Jackson,4540
East Baton Rouge,State Senate,14th Senatorial District,R,Christopher Toombs,2197
Assumption,State Senate,17th Senatorial District,D,Larry Thomas,938
Assumption,State Senate,17th Senatorial District,D,"""Rick"" Ward III",2132
East Baton Rouge,State Senate,17th Senatorial District,D,Larry Thomas,1311
East Baton Rouge,State Senate,17th Senatorial District,D,"""Rick"" Ward III",2063
East Feliciana,State Senate,17th Senatorial District,D,Larry Thomas,3323
East Feliciana,State Senate,17th Senatorial District,D,"""Rick"" Ward III",2954
Iberville,State Senate,17th Senatorial District,D,Larry Thomas,2167
Iberville,State Senate,17th Senatorial District,D,"""Rick"" Ward III",8087
Pointe Coupee,State Senate,17th Senatorial District,D,Larry Thomas,1008
Pointe Coupee,State Senate,17th Senatorial District,D,"""Rick"" Ward III",5744
St. Helena,State Senate,17th Senatorial District,D,Larry Thomas,1513
St. Helena,State Senate,17th Senatorial District,D,"""Rick"" Ward III",1401
St. Martin,State Senate,17th Senatorial District,D,Larry Thomas,79
St. Martin,State Senate,17th Senatorial District,D,"""Rick"" Ward III",233
West Baton Rouge,State Senate,17th Senatorial District,D,Larry Thomas,416
West Baton Rouge,State Senate,17th Senatorial District,D,"""Rick"" Ward III",2630
West Feliciana,State Senate,17th Senatorial District,D,Larry Thomas,245
West Feliciana,State Senate,17th Senatorial District,D,"""Rick"" Ward III",401
