parish,office,district,party,candidate,votes
Acadia,U.S. Senate,,L,Richard Fontanesi,283
Acadia,U.S. Senate,,R,John Kennedy,14090
Acadia,U.S. Senate,,D,Mary Landrieu,11383
Acadia,U.S. Senate,,N,"""Jay"" Patel",206
Acadia,U.S. Senate,,O,Robert Stewart,155
Allen,U.S. Senate,,L,Richard Fontanesi,121
Allen,U.S. Senate,,R,John Kennedy,4134
Allen,U.S. Senate,,D,Mary Landrieu,4665
Allen,U.S. Senate,,N,"""Jay"" Patel",96
Allen,U.S. Senate,,O,Robert Stewart,75
Ascension,U.S. Senate,,L,Richard Fontanesi,447
Ascension,U.S. Senate,,R,John Kennedy,24039
Ascension,U.S. Senate,,D,Mary Landrieu,20269
Ascension,U.S. Senate,,N,"""Jay"" Patel",368
Ascension,U.S. Senate,,O,Robert Stewart,177
Assumption,U.S. Senate,,L,Richard Fontanesi,79
Assumption,U.S. Senate,,R,John Kennedy,3793
Assumption,U.S. Senate,,D,Mary Landrieu,6401
Assumption,U.S. Senate,,N,"""Jay"" Patel",69
Assumption,U.S. Senate,,O,Robert Stewart,31
Avoyelles,U.S. Senate,,L,Richard Fontanesi,212
Avoyelles,U.S. Senate,,R,John Kennedy,7086
Avoyelles,U.S. Senate,,D,Mary Landrieu,8737
Avoyelles,U.S. Senate,,N,"""Jay"" Patel",153
Avoyelles,U.S. Senate,,O,Robert Stewart,113
Beauregard,U.S. Senate,,L,Richard Fontanesi,176
Beauregard,U.S. Senate,,R,John Kennedy,7500
Beauregard,U.S. Senate,,D,Mary Landrieu,5297
Beauregard,U.S. Senate,,N,"""Jay"" Patel",188
Beauregard,U.S. Senate,,O,Robert Stewart,181
Bienville,U.S. Senate,,L,Richard Fontanesi,69
Bienville,U.S. Senate,,R,John Kennedy,2796
Bienville,U.S. Senate,,D,Mary Landrieu,4143
Bienville,U.S. Senate,,N,"""Jay"" Patel",57
Bienville,U.S. Senate,,O,Robert Stewart,136
Bossier,U.S. Senate,,L,Richard Fontanesi,437
Bossier,U.S. Senate,,R,John Kennedy,25700
Bossier,U.S. Senate,,D,Mary Landrieu,17232
Bossier,U.S. Senate,,N,"""Jay"" Patel",341
Bossier,U.S. Senate,,O,Robert Stewart,212
Caddo,U.S. Senate,,L,Richard Fontanesi,800
Caddo,U.S. Senate,,R,John Kennedy,41348
Caddo,U.S. Senate,,D,Mary Landrieu,60558
Caddo,U.S. Senate,,N,"""Jay"" Patel",510
Caddo,U.S. Senate,,O,Robert Stewart,415
Calcasieu,U.S. Senate,,L,Richard Fontanesi,969
Calcasieu,U.S. Senate,,R,John Kennedy,36855
Calcasieu,U.S. Senate,,D,Mary Landrieu,41183
Calcasieu,U.S. Senate,,N,"""Jay"" Patel",699
Calcasieu,U.S. Senate,,O,Robert Stewart,533
Caldwell,U.S. Senate,,L,Richard Fontanesi,60
Caldwell,U.S. Senate,,R,John Kennedy,2835
Caldwell,U.S. Senate,,D,Mary Landrieu,1732
Caldwell,U.S. Senate,,N,"""Jay"" Patel",40
Caldwell,U.S. Senate,,O,Robert Stewart,22
Cameron,U.S. Senate,,L,Richard Fontanesi,41
Cameron,U.S. Senate,,R,John Kennedy,1738
Cameron,U.S. Senate,,D,Mary Landrieu,1863
Cameron,U.S. Senate,,N,"""Jay"" Patel",39
Cameron,U.S. Senate,,O,Robert Stewart,23
Catahoula,U.S. Senate,,L,Richard Fontanesi,51
Catahoula,U.S. Senate,,R,John Kennedy,2482
Catahoula,U.S. Senate,,D,Mary Landrieu,2411
Catahoula,U.S. Senate,,N,"""Jay"" Patel",35
Catahoula,U.S. Senate,,O,Robert Stewart,33
Claiborne,U.S. Senate,,L,Richard Fontanesi,51
Claiborne,U.S. Senate,,R,John Kennedy,2883
Claiborne,U.S. Senate,,D,Mary Landrieu,3468
Claiborne,U.S. Senate,,N,"""Jay"" Patel",37
Claiborne,U.S. Senate,,O,Robert Stewart,139
Concordia,U.S. Senate,,L,Richard Fontanesi,122
Concordia,U.S. Senate,,R,John Kennedy,4175
Concordia,U.S. Senate,,D,Mary Landrieu,4687
Concordia,U.S. Senate,,N,"""Jay"" Patel",63
Concordia,U.S. Senate,,O,Robert Stewart,48
De Soto,U.S. Senate,,L,Richard Fontanesi,114
De Soto,U.S. Senate,,R,John Kennedy,5352
De Soto,U.S. Senate,,D,Mary Landrieu,6134
De Soto,U.S. Senate,,N,"""Jay"" Patel",73
De Soto,U.S. Senate,,O,Robert Stewart,64
East Baton Rouge,U.S. Senate,,L,Richard Fontanesi,1647
East Baton Rouge,U.S. Senate,,R,John Kennedy,80222
East Baton Rouge,U.S. Senate,,D,Mary Landrieu,110694
East Baton Rouge,U.S. Senate,,N,"""Jay"" Patel",890
East Baton Rouge,U.S. Senate,,O,Robert Stewart,507
East Carroll,U.S. Senate,,L,Richard Fontanesi,17
East Carroll,U.S. Senate,,R,John Kennedy,993
East Carroll,U.S. Senate,,D,Mary Landrieu,2296
East Carroll,U.S. Senate,,N,"""Jay"" Patel",11
East Carroll,U.S. Senate,,O,Robert Stewart,20
East Feliciana,U.S. Senate,,L,Richard Fontanesi,70
East Feliciana,U.S. Senate,,R,John Kennedy,4402
East Feliciana,U.S. Senate,,D,Mary Landrieu,5175
East Feliciana,U.S. Senate,,N,"""Jay"" Patel",48
East Feliciana,U.S. Senate,,O,Robert Stewart,47
Evangeline,U.S. Senate,,L,Richard Fontanesi,187
Evangeline,U.S. Senate,,R,John Kennedy,6852
Evangeline,U.S. Senate,,D,Mary Landrieu,8082
Evangeline,U.S. Senate,,N,"""Jay"" Patel",121
Evangeline,U.S. Senate,,O,Robert Stewart,73
Franklin,U.S. Senate,,L,Richard Fontanesi,79
Franklin,U.S. Senate,,R,John Kennedy,5032
Franklin,U.S. Senate,,D,Mary Landrieu,3784
Franklin,U.S. Senate,,N,"""Jay"" Patel",47
Franklin,U.S. Senate,,O,Robert Stewart,46
Grant,U.S. Senate,,L,Richard Fontanesi,103
Grant,U.S. Senate,,R,John Kennedy,5230
Grant,U.S. Senate,,D,Mary Landrieu,2702
Grant,U.S. Senate,,N,"""Jay"" Patel",105
Grant,U.S. Senate,,O,Robert Stewart,61
Iberia,U.S. Senate,,L,Richard Fontanesi,288
Iberia,U.S. Senate,,R,John Kennedy,14858
Iberia,U.S. Senate,,D,Mary Landrieu,15895
Iberia,U.S. Senate,,N,"""Jay"" Patel",207
Iberia,U.S. Senate,,O,Robert Stewart,142
Iberville,U.S. Senate,,L,Richard Fontanesi,112
Iberville,U.S. Senate,,R,John Kennedy,4936
Iberville,U.S. Senate,,D,Mary Landrieu,10532
Iberville,U.S. Senate,,N,"""Jay"" Patel",80
Iberville,U.S. Senate,,O,Robert Stewart,53
Jackson,U.S. Senate,,L,Richard Fontanesi,68
Jackson,U.S. Senate,,R,John Kennedy,4183
Jackson,U.S. Senate,,D,Mary Landrieu,3157
Jackson,U.S. Senate,,N,"""Jay"" Patel",39
Jackson,U.S. Senate,,O,Robert Stewart,81
Jefferson,U.S. Senate,,L,Richard Fontanesi,1727
Jefferson,U.S. Senate,,R,John Kennedy,79965
Jefferson,U.S. Senate,,D,Mary Landrieu,91966
Jefferson,U.S. Senate,,N,"""Jay"" Patel",1225
Jefferson,U.S. Senate,,O,Robert Stewart,722
Jefferson Davis,U.S. Senate,,L,Richard Fontanesi,118
Jefferson Davis,U.S. Senate,,R,John Kennedy,6487
Jefferson Davis,U.S. Senate,,D,Mary Landrieu,6028
Jefferson Davis,U.S. Senate,,N,"""Jay"" Patel",122
Jefferson Davis,U.S. Senate,,O,Robert Stewart,91
Lafayette,U.S. Senate,,L,Richard Fontanesi,1177
Lafayette,U.S. Senate,,R,John Kennedy,50054
Lafayette,U.S. Senate,,D,Mary Landrieu,40826
Lafayette,U.S. Senate,,N,"""Jay"" Patel",686
Lafayette,U.S. Senate,,O,Robert Stewart,335
Lafourche,U.S. Senate,,L,Richard Fontanesi,386
Lafourche,U.S. Senate,,R,John Kennedy,17513
Lafourche,U.S. Senate,,D,Mary Landrieu,17778
Lafourche,U.S. Senate,,N,"""Jay"" Patel",362
Lafourche,U.S. Senate,,O,Robert Stewart,148
Lasalle,U.S. Senate,,L,Richard Fontanesi,71
Lasalle,U.S. Senate,,R,John Kennedy,4542
Lasalle,U.S. Senate,,D,Mary Landrieu,1599
Lasalle,U.S. Senate,,N,"""Jay"" Patel",91
Lasalle,U.S. Senate,,O,Robert Stewart,62
Lincoln,U.S. Senate,,L,Richard Fontanesi,160
Lincoln,U.S. Senate,,R,John Kennedy,8840
Lincoln,U.S. Senate,,D,Mary Landrieu,8960
Lincoln,U.S. Senate,,N,"""Jay"" Patel",106
Lincoln,U.S. Senate,,O,Robert Stewart,78
Livingston,U.S. Senate,,L,Richard Fontanesi,520
Livingston,U.S. Senate,,R,John Kennedy,33401
Livingston,U.S. Senate,,D,Mary Landrieu,15295
Livingston,U.S. Senate,,N,"""Jay"" Patel",477
Livingston,U.S. Senate,,O,Robert Stewart,284
Madison,U.S. Senate,,L,Richard Fontanesi,43
Madison,U.S. Senate,,R,John Kennedy,1722
Madison,U.S. Senate,,D,Mary Landrieu,3165
Madison,U.S. Senate,,N,"""Jay"" Patel",21
Madison,U.S. Senate,,O,Robert Stewart,21
Morehouse,U.S. Senate,,L,Richard Fontanesi,96
Morehouse,U.S. Senate,,R,John Kennedy,5763
Morehouse,U.S. Senate,,D,Mary Landrieu,6647
Morehouse,U.S. Senate,,N,"""Jay"" Patel",86
Morehouse,U.S. Senate,,O,Robert Stewart,64
Natchitoches,U.S. Senate,,L,Richard Fontanesi,196
Natchitoches,U.S. Senate,,R,John Kennedy,7084
Natchitoches,U.S. Senate,,D,Mary Landrieu,9016
Natchitoches,U.S. Senate,,N,"""Jay"" Patel",130
