parish,office,district,party,candidate,votes
Acadia,U.S. Senate,,D,Raymond Brown,358
Acadia,U.S. Senate,,R,John Cooksey,2516
Acadia,U.S. Senate,,D,Mary Landrieu,6991
Acadia,U.S. Senate,,O,"Patrick E. ""Live Wire"" Landry",67
Acadia,U.S. Senate,,O,James Lemann,19
Acadia,U.S. Senate,,R,"""Tony"" Perkins",2001
Acadia,U.S. Senate,,O,Gary D. Robbins,26
Acadia,U.S. Senate,,R,"Ernest Edward Skillman, Jr.",29
Acadia,U.S. Senate,,R,Suzanne Haik Terrell,4619
Allen,U.S. Senate,,D,Raymond Brown,216
Allen,U.S. Senate,,R,John Cooksey,880
Allen,U.S. Senate,,D,Mary Landrieu,2637
Allen,U.S. Senate,,O,"Patrick E. ""Live Wire"" Landry",120
Allen,U.S. Senate,,O,James Lemann,49
Allen,U.S. Senate,,R,"""Tony"" Perkins",813
Allen,U.S. Senate,,O,Gary D. Robbins,40
Allen,U.S. Senate,,R,"Ernest Edward Skillman, Jr.",11
Allen,U.S. Senate,,R,Suzanne Haik Terrell,1133
Ascension,U.S. Senate,,D,Raymond Brown,347
Ascension,U.S. Senate,,R,John Cooksey,1627
Ascension,U.S. Senate,,D,Mary Landrieu,10547
Ascension,U.S. Senate,,O,"Patrick E. ""Live Wire"" Landry",104
Ascension,U.S. Senate,,O,James Lemann,44
Ascension,U.S. Senate,,R,"""Tony"" Perkins",3930
Ascension,U.S. Senate,,O,Gary D. Robbins,24
Ascension,U.S. Senate,,R,"Ernest Edward Skillman, Jr.",53
Ascension,U.S. Senate,,R,Suzanne Haik Terrell,6973
Assumption,U.S. Senate,,D,Raymond Brown,185
Assumption,U.S. Senate,,R,John Cooksey,423
Assumption,U.S. Senate,,D,Mary Landrieu,4097
Assumption,U.S. Senate,,O,"Patrick E. ""Live Wire"" Landry",155
Assumption,U.S. Senate,,O,James Lemann,45
Assumption,U.S. Senate,,R,"""Tony"" Perkins",704
Assumption,U.S. Senate,,O,Gary D. Robbins,27
Assumption,U.S. Senate,,R,"Ernest Edward Skillman, Jr.",14
Assumption,U.S. Senate,,R,Suzanne Haik Terrell,1704
Avoyelles,U.S. Senate,,D,Raymond Brown,277
Avoyelles,U.S. Senate,,R,John Cooksey,3158
Avoyelles,U.S. Senate,,D,Mary Landrieu,4721
Avoyelles,U.S. Senate,,O,"Patrick E. ""Live Wire"" Landry",202
Avoyelles,U.S. Senate,,O,James Lemann,110
Avoyelles,U.S. Senate,,R,"""Tony"" Perkins",611
Avoyelles,U.S. Senate,,O,Gary D. Robbins,48
Avoyelles,U.S. Senate,,R,"Ernest Edward Skillman, Jr.",22
Avoyelles,U.S. Senate,,R,Suzanne Haik Terrell,1512
Beauregard,U.S. Senate,,D,Raymond Brown,198
Beauregard,U.S. Senate,,R,John Cooksey,1258
Beauregard,U.S. Senate,,D,Mary Landrieu,2692
Beauregard,U.S. Senate,,O,"Patrick E. ""Live Wire"" Landry",118
Beauregard,U.S. Senate,,O,James Lemann,32
Beauregard,U.S. Senate,,R,"""Tony"" Perkins",1958
Beauregard,U.S. Senate,,O,Gary D. Robbins,17
Beauregard,U.S. Senate,,R,"Ernest Edward Skillman, Jr.",13
Beauregard,U.S. Senate,,R,Suzanne Haik Terrell,1919
Bienville,U.S. Senate,,D,Raymond Brown,131
Bienville,U.S. Senate,,R,John Cooksey,838
Bienville,U.S. Senate,,D,Mary Landrieu,2573
Bienville,U.S. Senate,,O,"Patrick E. ""Live Wire"" Landry",101
Bienville,U.S. Senate,,O,James Lemann,40
