parish,office,district,party,candidate,votes
Acadia,U.S. Senate,,O,Richard M. Fontanesi,193
Acadia,U.S. Senate,,O,"R. A. ""Skip"" Galan",66
Acadia,U.S. Senate,,D,"""Chris"" John",13401
Acadia,U.S. Senate,,D,John Kennedy,1045
Acadia,U.S. Senate,,D,"Sam Houston Melton, Jr.",41
Acadia,U.S. Senate,,D,Arthur A. Morrell,140
Acadia,U.S. Senate,,R,David Vitter,10193
Allen,U.S. Senate,,O,Richard M. Fontanesi,121
Allen,U.S. Senate,,O,"R. A. ""Skip"" Galan",68
Allen,U.S. Senate,,D,"""Chris"" John",3797
Allen,U.S. Senate,,D,John Kennedy,1006
Allen,U.S. Senate,,D,"Sam Houston Melton, Jr.",106
Allen,U.S. Senate,,D,Arthur A. Morrell,144
Allen,U.S. Senate,,R,David Vitter,3418
Ascension,U.S. Senate,,O,Richard M. Fontanesi,171
Ascension,U.S. Senate,,O,"R. A. ""Skip"" Galan",298
Ascension,U.S. Senate,,D,"""Chris"" John",9753
Ascension,U.S. Senate,,D,John Kennedy,5848
Ascension,U.S. Senate,,D,"Sam Houston Melton, Jr.",165
Ascension,U.S. Senate,,D,Arthur A. Morrell,492
Ascension,U.S. Senate,,R,David Vitter,21641
Assumption,U.S. Senate,,O,Richard M. Fontanesi,141
Assumption,U.S. Senate,,O,"R. A. ""Skip"" Galan",114
Assumption,U.S. Senate,,D,"""Chris"" John",3612
Assumption,U.S. Senate,,D,John Kennedy,1996
Assumption,U.S. Senate,,D,"Sam Houston Melton, Jr.",126
Assumption,U.S. Senate,,D,Arthur A. Morrell,199
Assumption,U.S. Senate,,R,David Vitter,3803
Avoyelles,U.S. Senate,,O,Richard M. Fontanesi,213
Avoyelles,U.S. Senate,,O,"R. A. ""Skip"" Galan",127
Avoyelles,U.S. Senate,,D,"""Chris"" John",5333
Avoyelles,U.S. Senate,,D,John Kennedy,2350
Avoyelles,U.S. Senate,,D,"Sam Houston Melton, Jr.",129
Avoyelles,U.S. Senate,,D,Arthur A. Morrell,191
Avoyelles,U.S. Senate,,R,David Vitter,6177
Beauregard,U.S. Senate,,O,Richard M. Fontanesi,131
